ID,Timestamp,Status,Temperature,Humidity,Lux Level
1,2024-09-04 16:37:56,True,33.89,76.23,56.81
2,2024-09-04 16:41:19,False,21.78,55.24,28.83
3,2024-09-04 16:43:28,False,21.49,59.41,17.87
4,2024-09-04 16:52:23,False,22.83,56.59,1.6
5,2024-09-04 17:01:41,False,21.05,58.03,17.04
6,2024-09-04 17:09:33,False,21.18,54.26,20.14
7,2024-09-04 17:16:28,False,20.26,50.72,0.47
8,2024-09-04 17:18:26,True,33.19,79.1,63.82
9,2024-09-04 17:21:07,False,22.22,59.65,5.37
10,2024-09-04 17:25:11,True,28.15,72.52,39.09
11,2024-09-04 17:31:17,True,28.94,87.4,73.84
12,2024-09-04 17:32:41,False,20.22,50.45,29.5
13,2024-09-04 17:42:13,False,21.45,52.08,27.39
14,2024-09-04 17:43:56,False,20.9,55.26,5.7
15,2024-09-04 17:50:15,False,22.94,58.13,24.6
16,2024-09-04 17:55:27,False,24.64,55.22,3.97
17,2024-09-04 17:59:47,True,32.01,95.44,41.39
18,2024-09-04 18:06:57,False,21.66,58.55,14.54
19,2024-09-04 18:15:08,True,25.08,84.62,49.09
20,2024-09-04 18:15:46,False,20.15,53.61,9.15
21,2024-09-04 18:22:52,True,27.28,74.96,80.64
22,2024-09-04 18:24:13,False,21.85,50.03,27.53
23,2024-09-04 18:31:40,True,33.09,99.49,34.56
24,2024-09-04 18:37:16,True,30.73,98.1,84.64
25,2024-09-04 18:40:09,True,26.56,63.54,91.34
26,2024-09-04 18:42:49,False,20.25,54.94,6.4
27,2024-09-04 18:51:49,False,23.75,55.32,21.24
28,2024-09-04 18:57:57,False,21.41,57.19,22.12
29,2024-09-04 19:05:35,False,24.54,56.94,5.22
30,2024-09-04 19:09:58,False,20.34,58.55,18.91
31,2024-09-04 19:16:44,True,28.03,72.18,30.86
32,2024-09-04 19:18:00,False,24.86,53.35,3.47
33,2024-09-04 19:18:55,True,25.63,82.74,99.75
34,2024-09-04 19:20:13,True,33.94,74.51,90.86
35,2024-09-04 19:25:43,True,26.33,66.89,70.53
36,2024-09-04 19:29:50,False,24.4,53.15,19.18
37,2024-09-04 19:39:24,True,32.11,97.62,65.41
38,2024-09-04 19:46:56,False,20.14,59.71,20.57
39,2024-09-04 19:56:03,False,23.64,50.68,25.7
40,2024-09-04 20:01:06,True,25.55,76.16,42.32
41,2024-09-04 20:01:52,False,24.35,51.09,6.11
42,2024-09-04 20:03:06,False,25.0,53.83,2.14
43,2024-09-04 20:08:12,True,28.33,99.12,56.61
44,2024-09-04 20:09:43,False,20.62,56.02,3.76
45,2024-09-04 20:12:27,False,23.05,56.66,28.09
46,2024-09-04 20:13:11,True,32.39,86.93,39.5
47,2024-09-04 20:22:26,False,20.84,59.2,5.34
48,2024-09-04 20:31:50,False,21.91,52.61,2.92
49,2024-09-04 20:35:17,False,24.13,51.58,15.09
50,2024-09-04 20:44:37,False,20.06,54.58,26.04
51,2024-09-04 20:49:40,True,28.86,63.49,49.78
52,2024-09-04 20:55:07,True,28.64,95.34,41.77
53,2024-09-04 21:00:16,True,32.46,70.45,87.88
54,2024-09-04 21:08:57,False,23.94,51.8,8.08
55,2024-09-04 21:10:48,False,23.74,53.35,3.28
56,2024-09-04 21:13:40,True,34.24,97.92,62.37
57,2024-09-04 21:21:53,False,22.59,59.9,0.76
58,2024-09-04 21:25:09,False,20.42,57.27,4.43
59,2024-09-04 21:28:42,True,34.88,83.98,93.41
60,2024-09-04 21:33:14,False,20.17,51.78,6.31
61,2024-09-04 21:41:55,False,21.09,54.78,6.58
62,2024-09-04 21:46:07,True,26.95,97.84,50.71
63,2024-09-04 21:52:36,True,28.01,74.77,68.31
64,2024-09-04 21:58:01,False,22.27,53.92,11.25
65,2024-09-04 22:06:58,False,22.93,50.56,27.79
66,2024-09-04 22:12:08,False,20.47,54.97,17.81
67,2024-09-04 22:13:48,True,32.05,91.51,74.83
68,2024-09-04 22:21:04,False,22.25,52.06,22.71
69,2024-09-04 22:24:48,True,29.25,73.4,83.24
70,2024-09-04 22:26:28,False,22.73,51.24,19.65
71,2024-09-04 22:32:57,False,20.32,55.97,13.09
72,2024-09-04 22:42:38,True,29.9,62.75,31.15
73,2024-09-04 22:52:37,False,24.52,52.78,1.47
74,2024-09-04 22:58:24,False,22.17,56.15,7.52
75,2024-09-04 23:04:38,False,22.85,59.8,2.3
76,2024-09-04 23:08:13,False,22.77,59.01,2.77
77,2024-09-04 23:17:55,False,23.44,51.65,28.43
78,2024-09-04 23:22:10,True,29.69,72.74,37.6
79,2024-09-04 23:24:53,False,20.04,57.94,25.3
80,2024-09-04 23:27:58,False,22.37,59.99,18.24
81,2024-09-04 23:36:54,False,21.19,51.24,21.78
82,2024-09-04 23:43:23,False,22.96,50.93,19.15
83,2024-09-04 23:45:06,False,23.18,50.56,12.51
84,2024-09-04 23:50:54,False,23.4,52.29,2.66
85,2024-09-04 23:59:35,False,24.78,53.46,14.65
86,2024-09-05 00:00:36,False,23.75,56.31,12.58
87,2024-09-05 00:03:41,False,24.79,57.97,3.59
88,2024-09-05 00:12:39,False,23.22,54.41,22.77
89,2024-09-05 00:13:12,False,24.96,57.99,20.71
90,2024-09-05 00:18:51,False,20.28,58.23,17.26
91,2024-09-05 00:19:34,False,24.98,50.24,28.13
92,2024-09-05 00:22:08,True,26.68,82.83,72.22
93,2024-09-05 00:26:07,False,22.43,54.67,23.79
94,2024-09-05 00:32:16,False,23.17,59.76,19.34
95,2024-09-05 00:33:55,False,21.75,57.36,1.23
